response,contrast,estimate,SE,df,t.ratio,p.value
emergence_pct,T0 - T1,6.599999999999996,2.565497569240279,10,2.5726003716130803,0.14961183853957372
emergence_pct,T0 - T2,10.433333333333318,2.5654975692402777,10,4.0667874561358275,0.015090720792997558
emergence_pct,T0 - T3,18.16666666666666,2.5654975692402777,10,7.081147487520858,2.526459451126506e-4
emergence_pct,T0 - T4,24.699999999999992,2.565497569240278,10,9.627761996794412,1.733202363696229e-5
emergence_pct,T1 - T2,3.8333333333333215,2.565497569240279,10,1.494187084522745,0.5878541571680711
emergence_pct,T1 - T3,11.566666666666665,2.5654975692402786,10,4.508547115907775,0.007763943531914008
emergence_pct,T1 - T4,18.099999999999994,2.5654975692402786,10,7.05516162518133,2.6051847670682804e-4
emergence_pct,T2 - T3,7.733333333333343,2.565497569240278,10,3.01436003138503,0.0767138160157943
emergence_pct,T2 - T4,14.266666666666675,2.565497569240278,10,5.560974540658586,0.0017364494936710217
emergence_pct,T3 - T4,6.533333333333331,2.565497569240278,10,2.5466145092735557,0.1554470842807386
plant_height_cm,T0 - T1,5.933333333333331,1.4077562920398472,10,4.21474467340927,0.012055303265736006
plant_height_cm,T0 - T2,11.466666666666658,1.4077562920398465,10,8.145349256476344,7.648937984394699e-5
plant_height_cm,T0 - T3,17.26666666666666,1.4077562920398465,10,12.265380566438218,1.8473273155628078e-6
plant_height_cm,T0 - T4,21.66666666666666,1.4077562920398468,10,15.390921560202399,2.2023521717429162e-7
plant_height_cm,T1 - T2,5.533333333333327,1.407756292039847,10,3.93060458306707,0.018584024595465154
plant_height_cm,T1 - T3,11.333333333333329,1.407756292039847,10,8.050635893028945,8.467347410801018e-5
plant_height_cm,T1 - T4,15.73333333333333,1.407756292039847,10,11.176176886793126,4.414929450025085e-6
plant_height_cm,T2 - T3,5.800000000000001,1.4077562920398468,10,4.120031309961874,0.013916211437444037
plant_height_cm,T2 - T4,10.200000000000003,1.4077562920398468,10,7.245572303726056,2.0842131453602253e-4
plant_height_cm,T3 - T4,4.400000000000002,1.4077562920398468,10,3.1255409937641816,0.06462219980143902
leaves_per_plant,T0 - T1,0.6666666666666674,0.5163977794943222,10,1.2909944487358072,0.7022911210132932
leaves_per_plant,T0 - T2,1.6666666666666665,0.516397779494322,10,3.2274861218395157,0.055184880230074396
leaves_per_plant,T0 - T3,2.9999999999999996,0.516397779494322,10,5.809475019311128,0.0012432325755478146
leaves_per_plant,T0 - T4,2.333333333333334,0.5163977794943221,10,4.518480570575322,0.007650445235678038
leaves_per_plant,T1 - T2,0.9999999999999991,0.5163977794943222,10,1.936491673103707,0.35933726167349855
leaves_per_plant,T1 - T3,2.333333333333332,0.5163977794943221,10,4.518480570575319,0.007650445235678038
leaves_per_plant,T1 - T4,1.6666666666666665,0.5163977794943222,10,3.2274861218395143,0.055184880230074396
leaves_per_plant,T2 - T3,1.333333333333333,0.516397779494322,10,2.581988897471612,0.14755253954825398
leaves_per_plant,T2 - T4,0.6666666666666674,0.5163977794943221,10,1.2909944487358074,0.7022911210132932
leaves_per_plant,T3 - T4,-0.6666666666666656,0.5163977794943221,10,-1.290994448735804,0.702291121013295
root_length_cm,T0 - T1,2.199999999999994,0.6905714220041905,10,3.1857675106437346,0.05887084217640404
root_length_cm,T0 - T2,5.299999999999989,0.6905714220041902,10,7.674803548369006,1.2786315577340002e-4
