Dim.1,Dim.2,Dim.3,Dim.4,Dim.5
3.40758380140016,0.3096483090247566,-0.22124885323081625,-0.03054269823111996,0.031311351693140574
3.790591840080973,0.10926745034527757,0.3868106071799699,-0.03444819263799916,-0.1286665632799798
3.6522512732348797,0.23028060485555543,-0.39416952862723703,-0.09291086291130499,0.10070004380604444
1.8900891703779394,0.9036826059064282,-0.03763050823726444,0.13733859090493414,-0.3233355524389812
1.326028530612177,0.0020705249983984735,0.24193767898415364,-0.4379595928112876,0.42925898587178735
2.431011597773376,-0.44524428985407266,0.0770148265464973,0.11168276438335684,0.06695161588967209
0.383754002052919,-0.7477942501550519,0.8914173673726442,0.11114455849712078,-0.18817058636143033
0.44612792178365934,0.48623594056357433,-0.03863477022524806,-0.15999064758542572,-0.1660971365529663
0.7264191646844567,-0.9225956901191562,-0.3638942240257552,0.5806039414334527,0.17068557913861476
-2.2242154341016107,-0.5151684157230674,-0.5716231718382803,0.08871243504921439,-0.11609192880585452
-2.5046393903002846,-1.3327751053010801,-0.1100784121757587,-0.28862087437684336,-0.21451795638844995
-1.977754810952802,0.3568913942549727,-0.4727312349853006,-0.1449733714240362,0.1764742517590544
-3.9080059840932004,0.978972290307706,5.4630918297741956e-5,0.22621513287430212,-0.21062240191068166
-3.791168755372679,0.07780143550983351,0.1155734295991374,-0.4240382895923059,-0.018573702208130087
-3.6480729271799714,0.5087271953859299,0.4972021627449535,0.35778710642793027,0.3906939997881649
